host_total_listings_count;accommodates;bedrooms;beds;price;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
2;7;4;4;3130;2;1125;85;4.82;4.82;4.68;4.93;4.9;4.93;4.76;1.09
2;7;4;5;1050;5;14;9;4.57;4.86;4.29;4.71;4.86;4.71;4.71;0.19
2;8;4;4;6485;3;30;36;4.83;4.81;4.67;4.97;5.0;5.0;4.67;0.49
2;6;4;5;1700;4;1125;3;4.0;4.5;3.0;5.0;5.0;5.0;4.0;0.06
2;7;4;3;2054;3;30;20;4.85;4.95;4.45;4.89;5.0;4.89;4.89;0.29
2;5;4;3;850;5;30;0;;;;;;;;
2;4;4;6;1950;6;60;0;;;;;;;;
2;6;4;1;1980;3;1125;2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.04
2;7;4;4;1600;4;30;2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.07
2;6;4;4;1700;4;10;9;5.0;5.0;4.67;5.0;5.0;5.0;5.0;0.18
2;9;4;4;3500;2;1125;43;4.86;4.72;4.58;4.65;4.88;4.63;4.67;0.85
2;10;4;10;3330;2;1125;22;4.95;5.0;4.77;4.91;4.95;4.95;4.73;0.46
2;6;4;6;1265;7;21;3;4.67;5.0;5.0;5.0;5.0;5.0;4.67;0.06
2;7;4;4;1500;5;1125;3;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.06
2;7;4;4;1778;1;1125;2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.06
2;6;4;4;1680;2;1125;30;4.9;4.93;4.83;5.0;4.97;4.9;4.86;0.74
2;6;4;4;1570;1;1125;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.67
2;6;4;5;3180;3;1125;3;5.0;5.0;4.5;5.0;5.0;5.0;5.0;0.08
2;6;4;4;2031;1;1125;1;5.0;5.0;5.0;5.0;4.0;5.0;5.0;0.09
2;6;4;4;1103;3;14;3;5.0;5.0;5.0;5.0;5.0;4.67;4.67;0.3
2;6;4;5;1000;6;1125;4;5.0;5.0;5.0;5.0;5.0;5.0;4.5;0.12
2;8;4;5;1800;7;1125;0;;;;;;;;
2;10;4;4;2950;2;1125;9;4.67;4.78;4.56;5.0;4.56;4.78;4.67;0.42
2;8;4;4;1693;4;1125;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.03
2;8;4;5;2690;2;21;4;5.0;4.67;5.0;5.0;5.0;5.0;4.67;0.14
2;8;4;6;3000;5;21;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.03
2;7;4;5;1300;4;12;3;4.5;5.0;4.0;5.0;5.0;5.0;4.5;0.09
2;7;4;4;4000;4;31;4;5.0;5.0;5.0;5.0;5.0;4.75;4.75;0.12
2;6;4;4;2000;6;14;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.03
2;6;4;3;1860;3;1125;0;;;;;;;;
2;6;4;4;1100;6;14;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.1
2;6;4;5;1000;7;60;0;;;;;;;;
2;5;4;5;1200;2;1125;7;4.86;5.0;4.43;5.0;5.0;4.86;5.0;0.58
2;8;4;4;1000;2;365;0;;;;;;;;
2;7;4;7;2180;5;1125;2;5.0;5.0;5.0;5.0;5.0;4.0;5.0;0.19
2;5;4;4;1500;3;365;4;4.5;4.75;4.25;4.75;4.75;4.75;4.75;0.38
2;7;4;4;3500;5;20;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.12
2;7;4;5;1894;4;90;6;5.0;5.0;4.17;4.83;4.83;5.0;4.83;2.02
2;8;4;4;3500;4;29;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0
2;5;4;4;1400;3;365;2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.4
1;8;4;8;1121;5;14;14;4.71;4.71;4.71;4.71;4.79;4.5;4.86;0.14
1;8;4;4;1250;4;28;7;4.86;4.86;4.86;4.86;4.86;4.86;4.86;0.2
1;8;4;4;2786;4;1125;10;4.9;4.9;4.8;5.0;4.9;4.9;4.6;0.44
1;11;4;4;1000;5;1125;3;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.1
1;4;4;4;1775;2;1125;12;5.0;4.92;5.0;5.0;5.0;4.92;4.92;0.32
1;6;4;4;1500;4;14;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.03
1;6;4;4;2400;4;1125;58;4.91;4.93;4.96;4.92;4.85;4.94;4.81;0.56
1;5;4;5;1488;6;40;31;4.81;4.68;4.64;4.79;4.79;4.82;4.68;0.24
1;8;4;4;1406;3;1125;45;4.73;4.78;4.89;4.82;4.96;4.93;4.62;0.34
1;9;4;4;1480;5;90;33;4.63;4.75;4.53;4.94;4.94;4.88;4.53;0.26
1;10;4;;2750;6;90;30;4.93;4.93;4.9;5.0;4.9;4.86;4.72;0.32
1;6;4;4;1350;4;30;112;4.9;4.85;4.85;4.94;4.95;4.78;4.81;0.93
1;5;4;4;1600;5;99;11;5.0;5.0;4.8;5.0;5.0;5.0;4.9;0.09
1;6;4;4;1375;1;1125;12;4.91;4.82;4.82;5.0;5.0;4.36;4.45;0.11
1;8;4;8;1400;5;30;2;4.5;5.0;4.5;5.0;5.0;5.0;5.0;0.02
1;6;4;6;2367;6;21;6;5.0;5.0;4.4;5.0;5.0;5.0;5.0;0.06
1;7;4;5;1218;7;21;9;4.56;4.67;4.11;5.0;4.89;4.67;4.44;0.1
1;5;4;5;1100;6;8;19;4.88;4.94;4.75;4.94;4.94;4.75;4.81;0.17
1;6;4;6;1771;14;1125;38;4.89;4.94;4.88;4.97;4.94;4.82;4.76;0.34
1;6;4;5;1711;3;30;41;4.74;4.79;4.66;4.87;4.92;4.74;4.82;0.37
1;5;4;4;1451;3;1125;36;4.8;4.71;4.83;4.76;4.68;4.71;4.52;0.33
1;8;4;6;1300;5;30;19;4.84;4.95;4.74;4.95;5.0;4.53;4.89;0.19
1;8;4;8;2000;7;21;11;4.91;4.82;4.91;5.0;5.0;5.0;4.91;0.1
1;6;4;4;1395;8;30;21;4.86;4.86;4.81;4.95;5.0;4.95;4.76;0.2
1;6;4;6;1674;7;31;18;4.56;4.88;4.69;4.75;4.88;4.88;4.94;0.21
1;6;4;6;1900;5;1125;16;4.64;4.62;4.46;4.92;4.85;4.77;4.62;0.15
1;6;4;4;1200;3;1125;31;4.84;4.93;4.9;5.0;4.97;4.93;4.87;0.29
1;7;4;4;750;2;1125;31;4.87;4.93;4.73;4.93;4.93;4.97;4.73;0.47
